Survey Question,Answer Option,Unweighted Frequency,Weighted Percent
Do you think the price of tobacco products should be increased?,Yes,4293,49.8
Do you think the price of tobacco products should be increased?,No,4141,50.2
"During the past 30 days, did you see or hear any anti-tobacco media messages on television, radio, internet, billboards, posters, newspapers, magazines, or movies?",Yes,4413,51.1
"During the past 30 days, did you see or hear any anti-tobacco media messages on television, radio, internet, billboards, posters, newspapers, magazines, or movies?",No,4060,48.9
"During the past 30 days, did you see or hear any anti-tobacco messages at sports events, fairs, concerts, or community events, or social gatherings? past 30 days","I did not go to sports events, fairs, concerts, or community events, or social gatherings in the",3843,42.6
"During the past 30 days, did you see or hear any anti-tobacco messages at sports events, fairs, concerts, or community events, or social gatherings? past 30 days",Yes,1780,20.2
"During the past 30 days, did you see or hear any anti-tobacco messages at sports events, fairs, concerts, or community events, or social gatherings? past 30 days",No,2945,37.2
"During the past 30 days, did you see any signs stating that adolescents are not allowed to buy any tobacco products?",Yes,2357,27.7
"During the past 30 days, did you see any signs stating that adolescents are not allowed to buy any tobacco products?",No,5949,72.3
"During the past 30 days, how many anti-smoking media messages have you seen at points of sale (such as stores, shops, shopping malls, school canteen, etc. )?",A lot,1766,19.1
"During the past 30 days, how many anti-smoking media messages have you seen at points of sale (such as stores, shops, shopping malls, school canteen, etc. )?",A few,2065,25.8
"During the past 30 days, how many anti-smoking media messages have you seen at points of sale (such as stores, shops, shopping malls, school canteen, etc. )?",,4741,55.1
"During the past 30 days, did you see any health warnings on cigarette packages?","Yes, but I didn't think much of them",3702,44.3
"During the past 30 days, did you see any health warnings on cigarette packages?","Yes, and they led me to think about quitting smoking or not starting smoking",956,10.4
"During the past 30 days, did you see any health warnings on cigarette packages?",No,3887,45.2
"During the past 12 months, were you taught in any of your classes about the dangers of tobacco use?",Yes,3988,50.3
"During the past 12 months, were you taught in any of your classes about the dangers of tobacco use?",No,3297,35.6
"During the past 12 months, were you taught in any of your classes about the dangers of tobacco use?",I don't know,1215,14.1
"During the past 12 months, did you read in your school texts or books about the health effects of tobacco? Original Analysis Unweighted Unweighted",Yes,4189,51.5
"During the past 12 months, did you read in your school texts or books about the health effects of tobacco? Original Analysis Unweighted Unweighted",No,3116,32.2
"During the past 12 months, did you read in your school texts or books about the health effects of tobacco? Original Analysis Unweighted Unweighted",I do not have school texts or books,1283,16.3
"During the past 12 months, were you taught in any of your classes about the harmful effects of using tobacco like it makes your teeth yellow, causes wrinkles, or makes you smell bad?",Yes,4169,53.9
"During the past 12 months, were you taught in any of your classes about the harmful effects of using tobacco like it makes your teeth yellow, causes wrinkles, or makes you smell bad?",No,2777,28.6
"During the past 12 months, were you taught in any of your classes about the harmful effects of using tobacco like it makes your teeth yellow, causes wrinkles, or makes you smell bad?",Not sure,1619,17.6
"During the past 30 days, did you see any people using tobacco when you watched TV, videos, or movies?","I did not watch TV, videos, or movies in the past 30 days",2514,29.9
"During the past 30 days, did you see any people using tobacco when you watched TV, videos, or movies?",Yes,3883,45.0
"During the past 30 days, did you see any people using tobacco when you watched TV, videos, or movies?",No,2091,25.0
"During the past 30 days, did you see any tobacco product brand names when you watched sports events or any other programs on TV?",I did not watch TV in the past 30 days,2238,28.5
"During the past 30 days, did you see any tobacco product brand names when you watched sports events or any other programs on TV?",Yes,1803,17.8
"During the past 30 days, did you see any tobacco product brand names when you watched sports events or any other programs on TV?",No,4510,53.6
"During the past 30 days, did you see any advertisements or promotions for tobacco products at points of sale (such as stores, shops, shopping malls, kiosks, school canteen, etc.)?",I did not visit any points of sale in the past 30 days,2570,27.1
"During the past 30 days, did you see any advertisements or promotions for tobacco products at points of sale (such as stores, shops, shopping malls, kiosks, school canteen, etc.)?",Yes,2035,23.6
"During the past 30 days, did you see any advertisements or promotions for tobacco products at points of sale (such as stores, shops, shopping malls, kiosks, school canteen, etc.)?",No,3943,49.4
"During the past 30 days, did you see any advertisements for tobacco products on billboards?",I did not see any billboards in the past 30 days,2901,32.4
"During the past 30 days, did you see any advertisements for tobacco products on billboards?",Yes,1897,20.9
"During the past 30 days, did you see any advertisements for tobacco products on billboards?",No,3700,46.7
